Lng,lat,Zona,Salida,Duracion,Categoria,Entrada
-58.484089509125404,-37.15547992674604,Centro,1590186442140,4261255,6,1590182180885
-58.4892331963853,-37.15415927891118,Centro,1590187312814,502214,6,1590186810600
-58.48407163137988,-37.15548061563662,Centro,1590261900214,64962980,6,1590196937234
-58.484076457442846,-37.155480548382954,Centro,1590196467075,8305337,6,1590188161738
-58.48810028430043,-37.14984039410791,Centro,1590196733398,140816,6,1590196592582
-58.48751099042298,-37.15292143440969,Centro,1590233588241,719864,6,1590232868377
-58.48808002119841,-37.14980043932203,Centro,1590427715401,1413630,6,1590426301771
-58.47872665820736,-37.15203713190861,Centro,1590510775,-1588909133798,6,1590499644573
-58.48704976538207,-37.15300408019036,Centro,1590500102920,1588909603191,6,1590499729
-58.487546885092115,-37.15287815153198,Centro,1590507988623,127939,6,1590507860684
-58.48461946096239,-37.15399118966377,Centro,1590513139831,1592274,6,1590511547557
-58.485473859948186,-37.15403438966321,Centro,1590242951,193,6,1590242758
-58.48918238579876,-37.15427443793551,Centro,1590245702152,525987,6,1590245176165
-58.485723290097695,-37.15291972450045,Centro,1590242077309,280991,6,1590241796318
-58.48917975965058,-37.15427031353531,Centro,1590245517623,1316523,6,1590244201100
-58.48445229476625,-37.15363294898396,Centro,1590433335800,432605,6,1590432903195
